#At time x process y state arr w total z remain y wait k
At time 0 process 1 started arr 0 total 20 remain 20 wait 0
At time 3 process 2 started arr 0 total 20 remain 20 wait 3
At time 6 process 3 started arr 0 total 20 remain 20 wait 6
At time 9 process 4 started arr 0 total 20 remain 20 wait 9
At time 12 process 1 resumed arr 0 total 20 remain 18 wait 10
At time 15 process 2 resumed arr 0 total 20 remain 18 wait 13
At time 18 process 3 resumed arr 0 total 20 remain 18 wait 16
At time 21 process 4 resumed arr 0 total 20 remain 18 wait 19
At time 23 process 1 resumed arr 0 total 20 remain 17 wait 20
At time 26 process 2 resumed arr 0 total 20 remain 17 wait 23
At time 29 process 3 resumed arr 0 total 20 remain 17 wait 26
At time 32 process 4 resumed arr 0 total 20 remain 17 wait 29
At time 34 process 1 resumed arr 0 total 20 remain 16 wait 30
At time 37 process 2 resumed arr 0 total 20 remain 16 wait 33
At time 40 process 3 resumed arr 0 total 20 remain 16 wait 36
At time 43 process 4 resumed arr 0 total 20 remain 16 wait 39
At time 45 process 1 resumed arr 0 total 20 remain 15 wait 40
At time 48 process 2 resumed arr 0 total 20 remain 15 wait 43
At time 51 process 3 resumed arr 0 total 20 remain 15 wait 46
At time 54 process 4 resumed arr 0 total 20 remain 15 wait 49
At time 56 process 1 resumed arr 0 total 20 remain 14 wait 50
At time 59 process 2 resumed arr 0 total 20 remain 14 wait 53
At time 62 process 3 resumed arr 0 total 20 remain 14 wait 56
At time 65 process 4 resumed arr 0 total 20 remain 14 wait 59
At time 67 process 1 resumed arr 0 total 20 remain 13 wait 60
At time 70 process 2 resumed arr 0 total 20 remain 13 wait 63
At time 73 process 3 resumed arr 0 total 20 remain 13 wait 66
At time 76 process 4 resumed arr 0 total 20 remain 13 wait 69
At time 78 process 1 resumed arr 0 total 20 remain 12 wait 70
At time 82 process 1 stopped arr 0 total 20 remain 8 wait 70
At time 83 process 2 resumed arr 0 total 20 remain 12 wait 75
At time 85 process 2 stopped arr 0 total 20 remain 10 wait 75
At time 86 process 1 resumed arr 0 total 20 remain 8 wait 74
At time 88 process 1 stopped arr 0 total 20 remain 6 wait 74
At time 89 process 3 resumed arr 0 total 20 remain 12 wait 81
At time 91 process 3 stopped arr 0 total 20 remain 10 wait 81
At time 92 process 2 resumed arr 0 total 20 remain 10 wait 82
At time 94 process 2 stopped arr 0 total 20 remain 8 wait 82
At time 95 process 4 resumed arr 0 total 20 remain 12 wait 87
At time 97 process 4 stopped arr 0 total 20 remain 10 wait 87
At time 98 process 1 resumed arr 0 total 20 remain 6 wait 84
At time 100 process 1 stopped arr 0 total 20 remain 4 wait 84
At time 101 process 3 resumed arr 0 total 20 remain 10 wait 91
At time 103 process 3 stopped arr 0 total 20 remain 8 wait 91
At time 104 process 2 resumed arr 0 total 20 remain 8 wait 92
At time 106 process 2 stopped arr 0 total 20 remain 6 wait 92
At time 107 process 4 resumed arr 0 total 20 remain 10 wait 97
At time 109 process 4 stopped arr 0 total 20 remain 8 wait 97
At time 110 process 1 resumed arr 0 total 20 remain 4 wait 94
At time 112 process 1 stopped arr 0 total 20 remain 2 wait 94
At time 113 process 3 resumed arr 0 total 20 remain 8 wait 101
At time 115 process 3 stopped arr 0 total 20 remain 6 wait 101
At time 116 process 2 resumed arr 0 total 20 remain 6 wait 102
At time 118 process 2 stopped arr 0 total 20 remain 4 wait 102
At time 119 process 4 resumed arr 0 total 20 remain 8 wait 107
At time 121 process 4 stopped arr 0 total 20 remain 6 wait 107
At time 122 process 1 resumed arr 0 total 20 remain 2 wait 104
At time 124 process 1 finished arr 0 total 20 remain 0 wait 104 TA 124 WTA 6.20
At time 125 process 3 resumed arr 0 total 20 remain 6 wait 111
At time 127 process 3 stopped arr 0 total 20 remain 4 wait 111
At time 128 process 2 resumed arr 0 total 20 remain 4 wait 112
At time 130 process 2 stopped arr 0 total 20 remain 2 wait 112
At time 131 process 4 resumed arr 0 total 20 remain 6 wait 117
At time 133 process 4 stopped arr 0 total 20 remain 4 wait 117
At time 134 process 3 resumed arr 0 total 20 remain 4 wait 118
At time 136 process 3 stopped arr 0 total 20 remain 2 wait 118
At time 137 process 2 resumed arr 0 total 20 remain 2 wait 119
At time 139 process 2 finished arr 0 total 20 remain 0 wait 119 TA 139 WTA 6.95
At time 140 process 4 resumed arr 0 total 20 remain 4 wait 124
At time 142 process 4 stopped arr 0 total 20 remain 2 wait 124
At time 143 process 3 resumed arr 0 total 20 remain 2 wait 125
At time 145 process 3 finished arr 0 total 20 remain 0 wait 125 TA 145 WTA 7.25
At time 146 process 4 resumed arr 0 total 20 remain 2 wait 128
At time 148 process 4 finished arr 0 total 20 remain 0 wait 128 TA 148 WTA 7.40
